,time,open,high,low,close
0,2018-08-08 00:00:00,409.14,410.0,369.83,377.79
1,2018-08-07 00:00:00,406.57,410.83,401.5,409.1
2,2018-08-06 00:00:00,406.0,413.02,404.05,406.6
3,2018-08-05 00:00:00,404.68,410.0,400.0,405.96
4,2018-08-04 00:00:00,414.48,421.0,402.0,404.63
5,2018-08-03 00:00:00,412.15,416.0,398.0,414.47
6,2018-08-02 00:00:00,421.51,425.05,407.58,412.15
7,2018-08-01 00:00:00,430.35,436.2,411.0,421.49
8,2018-07-31 00:00:00,456.17,458.27,428.0,430.35
9,2018-07-30 00:00:00,467.43,469.79,455.62,456.2
10,2018-07-29 00:00:00,463.3,471.9,461.51,467.43
11,2018-07-28 00:00:00,466.63,473.86,461.0,463.26
12,2018-07-27 00:00:00,475.63,479.5,456.95,466.63
13,2018-07-26 00:00:00,467.7,485.0,466.53,475.6
14,2018-07-25 00:00:00,475.16,485.3,464.36,467.86
15,2018-07-24 00:00:00,463.21,488.0,447.49,475.23
16,2018-07-23 00:00:00,468.97,470.17,454.0,463.26
17,2018-07-22 00:00:00,466.08,472.3,457.1,468.96
18,2018-07-21 00:00:00,458.44,472.01,440.97,466.09
19,2018-07-20 00:00:00,469.0,477.36,453.0,458.39
20,2018-07-19 00:00:00,494.24,500.0,465.0,469.01
21,2018-07-18 00:00:00,472.97,514.79,470.01,494.24
22,2018-07-17 00:00:00,473.69,482.66,465.83,473.01
23,2018-07-16 00:00:00,453.33,477.55,444.67,473.69
24,2018-07-15 00:00:00,436.5,453.46,430.7,453.46
25,2018-07-14 00:00:00,438.53,441.88,425.2,436.56
26,2018-07-13 00:00:00,430.25,442.67,418.0,438.52
27,2018-07-12 00:00:00,439.44,445.0,426.18,430.25
28,2018-07-11 00:00:00,440.69,447.99,425.0,439.48
29,2018-07-10 00:00:00,480.31,484.0,429.02,440.69
30,2018-07-09 00:00:00,490.01,492.0,478.0,480.31
31,2018-07-08 00:00:00,467.6,494.99,463.62,490.01
32,2018-07-07 00:00:00,467.86,474.98,459.55,467.6
33,2018-07-06 00:00:00,472.53,475.62,451.91,467.93
34,2018-07-05 00:00:00,472.84,479.2,462.05,472.53
35,2018-07-04 00:00:00,469.46,483.1,451.3,472.84
36,2018-07-03 00:00:00,474.64,488.42,464.0,469.46
37,2018-07-02 00:00:00,449.82,477.41,444.87,474.61
38,2018-07-01 00:00:00,449.02,457.41,442.0,450.1
39,2018-06-30 00:00:00,414.76,463.15,408.23,449.01
40,2018-06-29 00:00:00,435.38,439.49,405.44,414.81
41,2018-06-28 00:00:00,431.96,446.54,429.35,435.38
42,2018-06-27 00:00:00,446.74,449.99,419.91,431.91
43,2018-06-26 00:00:00,465.91,470.47,441.4,446.65
44,2018-06-25 00:00:00,421.9,475.0,421.4,465.55
45,2018-06-24 00:00:00,467.39,480.42,420.85,421.99
46,2018-06-23 00:00:00,473.95,482.99,450.0,467.38
47,2018-06-22 00:00:00,529.0,529.39,460.61,473.92
48,2018-06-21 00:00:00,535.54,545.01,525.43,529.01
49,2018-06-20 00:00:00,534.63,540.53,516.91,535.52
50,2018-06-19 00:00:00,497.41,547.5,497.01,534.91
51,2018-06-18 00:00:00,502.34,506.0,487.72,497.81
52,2018-06-17 00:00:00,487.0,507.73,484.5,502.35
53,2018-06-16 00:00:00,504.3,512.94,483.6,486.97
54,2018-06-15 00:00:00,464.22,526.93,463.99,504.31
55,2018-06-14 00:00:00,463.72,495.0,450.0,464.22
56,2018-06-13 00:00:00,524.68,524.84,461.0,463.7
57,2018-06-12 00:00:00,513.1,538.83,510.0,524.7
58,2018-06-11 00:00:00,567.55,567.66,502.0,513.36
59,2018-06-10 00:00:00,602.59,603.26,559.15,567.02
60,2018-06-09 00:00:00,600.67,608.91,595.81,602.59
61,2018-06-08 00:00:00,606.52,611.47,593.2,600.63
62,2018-06-07 00:00:00,610.87,617.51,593.01,606.77
63,2018-06-06 00:00:00,599.63,614.0,598.65,610.86
64,2018-06-05 00:00:00,586.92,599.64,576.95,599.08
65,2018-06-04 00:00:00,623.98,625.89,581.5,586.92
66,2018-06-03 00:00:00,590.31,629.0,586.53,623.58
67,2018-06-02 00:00:00,576.29,597.58,564.01,590.37
68,2018-06-01 00:00:00,576.46,590.49,568.22,576.28
69,2018-05-31 00:00:00,549.18,578.98,542.63,576.41
70,2018-05-30 00:00:00,556.32,586.05,545.62,549.18
71,2018-05-29 00:00:00,531.31,571.39,508.0,556.35
72,2018-05-28 00:00:00,572.37,577.59,522.23,531.21
73,2018-05-27 00:00:00,603.62,606.63,565.52,572.37
74,2018-05-26 00:00:00,599.42,606.06,570.0,603.65
75,2018-05-25 00:00:00,594.65,617.17,578.21,599.37
76,2018-05-24 00:00:00,599.33,610.47,549.0,594.67
77,2018-05-23 00:00:00,680.41,683.2,591.1,599.33
78,2018-05-22 00:00:00,700.83,700.92,677.35,680.4
79,2018-05-21 00:00:00,714.39,723.45,694.23,700.79
80,2018-05-20 00:00:00,707.04,718.38,685.0,714.42
81,2018-05-19 00:00:00,677.39,716.89,671.74,706.61
82,2018-05-18 00:00:00,706.19,708.56,657.0,677.38
83,2018-05-17 00:00:00,698.04,718.9,688.0,706.42
84,2018-05-16 00:00:00,718.43,727.01,675.0,698.03
85,2018-05-15 00:00:00,734.6,741.89,708.0,718.37
86,2018-05-14 00:00:00,726.51,740.3,687.0,734.62
87,2018-05-13 00:00:00,659.77,730.0,650.0,726.49
88,2018-05-12 00:00:00,680.93,694.55,623.58,660.07
89,2018-05-11 00:00:00,762.59,765.44,667.13,680.93
90,2018-05-10 00:00:00,748.87,769.27,744.0,762.59
91,2018-05-09 00:00:00,738.13,759.04,711.11,748.13
92,2018-05-08 00:00:00,730.32,776.0,721.11,738.18
93,2018-05-07 00:00:00,775.0,798.98,700.84,730.32
94,2018-05-06 00:00:00,821.04,841.59,751.0,775.11
95,2018-05-05 00:00:00,776.62,833.01,768.01,821.5
96,2018-05-04 00:00:00,748.96,812.0,748.48,776.31
97,2018-05-03 00:00:00,683.49,759.4,671.98,749.0
98,2018-05-02 00:00:00,649.34,688.0,649.34,683.49
99,2018-05-01 00:00:00,683.26,687.25,630.0,650.0
100,2018-04-30 00:00:00,682.13,694.87,670.87,683.26
101,2018-04-29 00:00:00,686.24,702.0,665.0,682.17
102,2018-04-28 00:00:00,674.05,694.18,639.73,685.52
103,2018-04-27 00:00:00,628.75,685.7,626.23,674.0
104,2018-04-26 00:00:00,622.02,647.99,600.11,628.75
105,2018-04-25 00:00:00,699.77,710.7,596.0,622.31
106,2018-04-24 00:00:00,644.81,712.98,632.13,699.5
107,2018-04-23 00:00:00,634.47,649.53,615.39,645.47
108,2018-04-22 00:00:00,608.0,641.8,590.06,634.21
109,2018-04-21 00:00:00,585.88,624.47,573.99,608.0
110,2018-04-20 00:00:00,546.47,595.94,546.47,585.73
111,2018-04-19 00:00:00,510.09,548.0,510.0,546.48
112,2018-04-18 00:00:00,514.0,517.99,501.24,510.04
113,2018-04-17 00:00:00,504.34,520.76,500.5,514.0
114,2018-04-16 00:00:00,521.75,537.71,498.15,504.0
115,2018-04-15 00:00:00,493.7,529.79,491.47,521.15
116,2018-04-14 00:00:00,517.8,520.0,481.84,493.7
117,2018-04-13 00:00:00,465.48,529.77,453.1,517.8
118,2018-04-12 00:00:00,420.64,473.57,413.09,465.0
119,2018-04-11 00:00:00,406.23,424.74,405.02,420.64
120,2018-04-10 00:00:00,396.71,407.99,389.1,406.37
121,2018-04-09 00:00:00,400.97,432.01,387.04,396.65
122,2018-04-08 00:00:00,387.67,403.33,382.55,400.81
123,2018-04-07 00:00:00,366.54,388.2,364.83,387.57
124,2018-04-06 00:00:00,377.65,386.51,363.21,366.54
125,2018-04-05 00:00:00,371.75,387.02,363.0,377.88
126,2018-04-04 00:00:00,403.42,418.15,370.5,371.74
127,2018-04-03 00:00:00,389.37,407.0,375.1,403.4
128,2018-04-02 00:00:00,360.64,394.53,360.0,389.38
129,2018-04-01 00:00:00,402.5,410.48,358.0,360.64
130,2018-03-31 00:00:00,386.4,419.0,368.0,402.52
131,2018-03-30 00:00:00,407.03,419.0,367.07,386.31
132,2018-03-29 00:00:00,446.69,451.27,397.0,407.03
133,2018-03-28 00:00:00,459.2,465.51,439.56,445.91
134,2018-03-27 00:00:00,483.79,496.13,447.5,459.65
135,2018-03-26 00:00:00,515.62,535.07,476.56,483.3
136,2018-03-25 00:00:00,539.57,540.27,511.61,516.11
