,time,open,high,low,close
0,2018-08-08 00:00:00,0.7390000000000001,0.7404,0.6723,0.6803
1,2018-08-07 00:00:00,0.7299,0.743,0.7211,0.7390000000000001
2,2018-08-06 00:00:00,0.731,0.7444,0.7213,0.7293
3,2018-08-05 00:00:00,0.7266,0.7372,0.7228,0.7306
4,2018-08-04 00:00:00,0.7490000000000001,0.7589,0.7240000000000001,0.7265
5,2018-08-03 00:00:00,0.7497,0.7602,0.7233,0.7481
6,2018-08-02 00:00:00,0.7733,0.7779,0.7441,0.7508
7,2018-08-01 00:00:00,0.7826,0.7912,0.7563,0.7733
8,2018-07-31 00:00:00,0.8299,0.8342,0.77,0.7826
9,2018-07-30 00:00:00,0.8543,0.8605,0.8298,0.8298
10,2018-07-29 00:00:00,0.8398,0.866,0.8398,0.8540000000000001
11,2018-07-28 00:00:00,0.8557,0.8634,0.8383,0.8398
12,2018-07-27 00:00:00,0.8717,0.8767,0.8211,0.8542
13,2018-07-26 00:00:00,0.8581,0.8865,0.8556,0.8717
14,2018-07-25 00:00:00,0.862,0.8959,0.8512,0.8581
15,2018-07-24 00:00:00,0.8270000000000001,0.8771,0.8038,0.862
16,2018-07-23 00:00:00,0.8308,0.8482,0.8011,0.8275
17,2018-07-22 00:00:00,0.8241,0.8381,0.8111,0.8302
18,2018-07-21 00:00:00,0.8228,0.8509,0.7811,0.8242
19,2018-07-20 00:00:00,0.841,0.8592,0.8051,0.8229
20,2018-07-19 00:00:00,0.865,0.885,0.8188,0.8414
21,2018-07-18 00:00:00,0.807,0.8976,0.8,0.8655
22,2018-07-17 00:00:00,0.8033,0.8135,0.7887,0.8061
23,2018-07-16 00:00:00,0.7642,0.81,0.7497,0.8032
24,2018-07-15 00:00:00,0.7248,0.7647,0.7234,0.7642
25,2018-07-14 00:00:00,0.7283,0.735,0.7101,0.7249
26,2018-07-13 00:00:00,0.7068,0.7355,0.6959,0.7286
27,2018-07-12 00:00:00,0.732,0.7396,0.6967,0.7069
28,2018-07-11 00:00:00,0.7369,0.7493,0.7082,0.732
29,2018-07-10 00:00:00,0.8204,0.8208,0.7301,0.7369
30,2018-07-09 00:00:00,0.8333,0.8368,0.8085,0.8207
31,2018-07-08 00:00:00,0.8029,0.843,0.8003,0.8333
32,2018-07-07 00:00:00,0.809,0.8186,0.7951,0.8032
33,2018-07-06 00:00:00,0.8283,0.8311,0.7861,0.8091
34,2018-07-05 00:00:00,0.8409,0.85,0.8183,0.8284
35,2018-07-04 00:00:00,0.831,0.8611,0.797,0.8418
36,2018-07-03 00:00:00,0.8357,0.8604,0.8179,0.8307
37,2018-07-02 00:00:00,0.7675,0.8399,0.7622,0.8357
38,2018-07-01 00:00:00,0.7862,0.7998,0.75,0.7671
39,2018-06-30 00:00:00,0.7319,0.8299,0.7148,0.7866
40,2018-06-29 00:00:00,0.7667,0.7693,0.7034,0.731
41,2018-06-28 00:00:00,0.758,0.7806,0.7426,0.7667
42,2018-06-27 00:00:00,0.7701,0.7777,0.723,0.7584
43,2018-06-26 00:00:00,0.7823,0.8103,0.7578,0.7703
44,2018-06-25 00:00:00,0.6938,0.7873,0.6923,0.7826
45,2018-06-24 00:00:00,0.7819,0.8018,0.6854,0.6940000000000001
46,2018-06-23 00:00:00,0.8228,0.8413,0.7733,0.78
47,2018-06-22 00:00:00,0.924,0.9292,0.8077,0.8228
48,2018-06-21 00:00:00,0.9522,0.963,0.9179999999999999,0.9229
49,2018-06-20 00:00:00,0.9223,0.9763,0.8957,0.9521
50,2018-06-19 00:00:00,0.852,0.9259999999999999,0.8502,0.9229999999999999
51,2018-06-18 00:00:00,0.8725,0.8795,0.8333,0.8519
52,2018-06-17 00:00:00,0.8759999999999999,0.8909999999999999,0.8568,0.8725
53,2018-06-16 00:00:00,0.9239,0.9469,0.8727,0.8756
54,2018-06-15 00:00:00,0.88,0.93,0.8788,0.9239
