,time,open,high,low,close
0,2018-08-08 00:00:00,6.46,6.48,5.85,5.89
1,2018-08-07 00:00:00,6.46,6.51,6.26,6.45
2,2018-08-06 00:00:00,6.41,6.71,6.34,6.46
3,2018-08-05 00:00:00,6.23,6.47,6.18,6.4
4,2018-08-04 00:00:00,6.29,6.55,6.14,6.24
5,2018-08-03 00:00:00,6.41,6.51,5.94,6.28
6,2018-08-02 00:00:00,6.74,6.98,6.38,6.42
7,2018-08-01 00:00:00,6.9,7.01,6.51,6.74
8,2018-07-31 00:00:00,7.57,7.58,6.75,6.9
9,2018-07-30 00:00:00,7.74,7.79,7.55,7.55
10,2018-07-29 00:00:00,7.63,7.82,7.6,7.74
11,2018-07-28 00:00:00,7.82,7.97,7.6,7.64
12,2018-07-27 00:00:00,8.12,8.17,7.6,7.83
13,2018-07-26 00:00:00,7.96,8.29,7.91,8.1
14,2018-07-25 00:00:00,8.11,8.33,7.92,7.96
15,2018-07-24 00:00:00,7.85,8.27,7.58,8.1
16,2018-07-23 00:00:00,8.1,8.39,7.75,7.85
17,2018-07-22 00:00:00,7.9,8.17,7.71,8.1
18,2018-07-21 00:00:00,8.02,8.11,7.41,7.91
19,2018-07-20 00:00:00,8.37,8.53,7.86,8.04
20,2018-07-19 00:00:00,8.8,9.1,8.31,8.36
21,2018-07-18 00:00:00,8.2,9.15,8.07,8.81
22,2018-07-17 00:00:00,8.23,8.44,8.02,8.2
23,2018-07-16 00:00:00,7.9,8.35,7.72,8.23
24,2018-07-15 00:00:00,7.65,7.92,7.55,7.9
25,2018-07-14 00:00:00,7.7,7.74,7.45,7.63
26,2018-07-13 00:00:00,7.42,7.75,7.29,7.71
27,2018-07-12 00:00:00,7.77,7.87,7.32,7.41
28,2018-07-11 00:00:00,7.97,8.05,7.58,7.76
29,2018-07-10 00:00:00,9.0,9.02,7.75,7.96
30,2018-07-09 00:00:00,9.11,9.2,8.76,9.0
31,2018-07-08 00:00:00,8.89,9.24,8.72,9.12
32,2018-07-07 00:00:00,8.74,9.55,8.7,8.88
33,2018-07-06 00:00:00,8.82,9.02,8.4,8.74
34,2018-07-05 00:00:00,9.06,9.26,8.6,8.82
35,2018-07-04 00:00:00,9.01,9.32,8.51,9.04
36,2018-07-03 00:00:00,9.16,9.5,8.95,9.01
37,2018-07-02 00:00:00,8.46,9.35,8.33,9.15
38,2018-07-01 00:00:00,8.42,8.9,8.25,8.46
39,2018-06-30 00:00:00,7.81,8.79,7.67,8.43
40,2018-06-29 00:00:00,8.47,8.53,7.51,7.8
41,2018-06-28 00:00:00,8.75,8.91,8.38,8.47
42,2018-06-27 00:00:00,9.25,9.5,8.11,8.76
43,2018-06-26 00:00:00,8.39,9.29,7.93,9.22
44,2018-06-25 00:00:00,7.44,8.47,7.43,8.39
45,2018-06-24 00:00:00,8.61,8.9,7.42,7.46
46,2018-06-23 00:00:00,9.01,9.22,8.51,8.62
47,2018-06-22 00:00:00,10.18,10.25,8.92,9.03
48,2018-06-21 00:00:00,10.39,10.64,10.1,10.16
49,2018-06-20 00:00:00,10.59,10.73,10.01,10.38
50,2018-06-19 00:00:00,10.23,10.91,10.17,10.59
51,2018-06-18 00:00:00,10.54,10.62,10.03,10.22
52,2018-06-17 00:00:00,10.31,10.7,10.28,10.55
53,2018-06-16 00:00:00,10.78,10.92,10.28,10.3
54,2018-06-15 00:00:00,10.35,11.29,10.31,10.78
55,2018-06-14 00:00:00,10.42,10.95,9.98,10.34
56,2018-06-13 00:00:00,11.57,11.57,10.41,10.41
57,2018-06-12 00:00:00,11.16,12.73,11.1,11.56
58,2018-06-11 00:00:00,12.42,12.9,11.08,11.17
