,time,open,high,low,close
0,2018-08-08 00:00:00,1.2065,1.2234,1.0751,1.0836
1,2018-08-07 00:00:00,1.1477,1.2468,1.1261,1.2129
2,2018-08-06 00:00:00,1.1466,1.2303,1.1313,1.1508
3,2018-08-05 00:00:00,1.1343,1.1689,1.12,1.1476
4,2018-08-04 00:00:00,1.2081,1.2342,1.1185,1.1308
5,2018-08-03 00:00:00,1.1884,1.248,1.0922,1.2177
6,2018-08-02 00:00:00,1.2723,1.2991,1.1809,1.1884
7,2018-08-01 00:00:00,1.2734,1.3303,1.2334,1.2688
8,2018-07-31 00:00:00,1.3893,1.4698,1.239,1.2703
9,2018-07-30 00:00:00,1.4397,1.4549,1.3892,1.3926
10,2018-07-29 00:00:00,1.4275,1.4780000000000002,1.4105,1.4323
11,2018-07-28 00:00:00,1.4642,1.4995,1.42,1.4326
12,2018-07-27 00:00:00,1.5232,1.62,1.4,1.4564
13,2018-07-26 00:00:00,1.4249,1.58,1.4206,1.5306
14,2018-07-25 00:00:00,1.4137,1.52,1.3865,1.4281
15,2018-07-24 00:00:00,1.3996,1.49,1.2888,1.4049
16,2018-07-23 00:00:00,1.4508,1.4983,1.37,1.4035
17,2018-07-22 00:00:00,1.4233,1.4998,1.3456,1.4508
18,2018-07-21 00:00:00,1.4256,1.4709999999999999,1.3311,1.4231
19,2018-07-20 00:00:00,1.5447,1.5742,1.4038,1.4248
20,2018-07-19 00:00:00,1.6230000000000002,1.695,1.489,1.5468
21,2018-07-18 00:00:00,1.4844,1.68,1.4532,1.6245
22,2018-07-17 00:00:00,1.3863,1.55,1.3691,1.4835
23,2018-07-16 00:00:00,1.3353,1.425,1.2809,1.3855
24,2018-07-15 00:00:00,1.2776,1.3375,1.2670000000000001,1.3354
25,2018-07-14 00:00:00,1.3276,1.3299,1.246,1.276
26,2018-07-13 00:00:00,1.2539,1.3476,1.237,1.3276
27,2018-07-12 00:00:00,1.2852,1.3159,1.2135,1.2566
28,2018-07-11 00:00:00,1.3494,1.3996,1.1916,1.2865
29,2018-07-10 00:00:00,1.5465,1.5539,1.3136,1.3496
30,2018-07-09 00:00:00,1.5948,1.6088,1.5215,1.5465
31,2018-07-08 00:00:00,1.4954,1.6230000000000002,1.4939,1.5895
32,2018-07-07 00:00:00,1.6041,1.6649,1.4909999999999999,1.4939
