,id,open,close,low,high,amount,vol,count
0,2018-08-08 00:00:00,6.46,5.89,5.85,6.48,114406.55859501736,696892.1509280651,3726.0
1,2018-08-07 00:00:00,6.46,6.45,6.26,6.51,170001.33644737577,1086593.03136873,5471.0
2,2018-08-06 00:00:00,6.41,6.46,6.34,6.71,154129.3278991268,1009259.3013316534,5124.0
3,2018-08-05 00:00:00,6.23,6.4,6.18,6.47,140775.98124093795,889728.7274455755,5260.0
4,2018-08-04 00:00:00,6.29,6.24,6.14,6.55,243655.39682118437,1548435.8593681837,7281.0
5,2018-08-03 00:00:00,6.41,6.28,5.94,6.51,327529.9239755257,2020157.1758064283,9888.0
6,2018-08-02 00:00:00,6.74,6.42,6.38,6.98,223763.65031293491,1492671.375289898,8986.0
7,2018-08-01 00:00:00,6.9,6.74,6.51,7.01,212043.52944712178,1424054.5324345,8126.0
8,2018-07-31 00:00:00,7.57,6.9,6.75,7.58,391132.1699618181,2791916.1870052936,11455.0
9,2018-07-30 00:00:00,7.74,7.55,7.55,7.79,118727.4728741842,910424.516053486,6473.0
10,2018-07-29 00:00:00,7.63,7.74,7.6,7.82,148273.38234367748,1144090.390112469,6437.0
11,2018-07-28 00:00:00,7.82,7.64,7.6,7.97,126354.01624794652,986898.6110428532,6305.0
12,2018-07-27 00:00:00,8.12,7.83,7.6,8.17,234434.38248749307,1822381.596262943,8798.0
13,2018-07-26 00:00:00,7.96,8.1,7.91,8.29,217482.28297954556,1770337.6255443995,9157.0
14,2018-07-25 00:00:00,8.11,7.96,7.92,8.33,341694.5207392285,2779910.907298693,14263.0
15,2018-07-24 00:00:00,7.85,8.1,7.58,8.27,270148.2159650174,2138848.97065361,12750.0
16,2018-07-23 00:00:00,8.1,7.85,7.75,8.39,266523.4737751384,2135840.184421764,13594.0
17,2018-07-22 00:00:00,7.9,8.1,7.71,8.17,164286.45141587305,1299986.2735858092,9280.0
18,2018-07-21 00:00:00,8.02,7.91,7.41,8.11,275627.2183298618,2132074.34941561,11686.0
19,2018-07-20 00:00:00,8.37,8.04,7.86,8.53,215019.36184232056,1754633.020571311,11463.0
20,2018-07-19 00:00:00,8.8,8.36,8.31,9.1,351802.1909789495,3018789.4890473,16379.0
21,2018-07-18 00:00:00,8.2,8.81,8.07,9.15,427497.4153090012,3756125.9755551843,18550.0
22,2018-07-17 00:00:00,8.23,8.2,8.02,8.44,191015.13055565147,1572407.301826646,11753.0
23,2018-07-16 00:00:00,7.9,8.23,7.72,8.35,174622.9657692568,1403218.3218734148,10610.0
24,2018-07-15 00:00:00,7.65,7.9,7.55,7.92,168852.87987788842,1305771.67919636,10242.0
